FATHID,CaseID,ITT,BOY,Cage1,CUSTSAT1,DAGE1,EDUC1,INCOME1,FTCKNOW2,HARSH2,INCONS2,POS2,HARSH3,INCONS3,POS3,ECBIN3T,ECBPRB3T,SDQPRO3
FTC535,318,1,1,9,1,46,6,11,14,1.54545454545455,2.44444444444444,4.26666666666667,1.54545454545455,2.44444444444444,5.13333333333333,47,46,10
FTC537,319,1,0,5,3,30,9,3,10,1.72727272727273,2.55555555555556,4.13333333333333,2.18181818181818,2.44444444444444,4.53333333333333,66,64,5
FTC538,320,1,1,6,4,33,5,8,11,2.09090909090909,3.33333333333333,4.33333333333333,1.63636363636364,2.44444444444444,4.2,47,58,5
FTC544,321,1,0,11,2,47,5,5,11,1.90909090909091,2.22222222222222,5.2,1.72727272727273,2.22222222222222,4.4,56,58,8
FTC545,322,0,1,5,3,33,3,4,7,2.90909090909091,2.33333333333333,4.33333333333333,3.09090909090909,2.44444444444444,3.8,52,45,8
FTC547,323,0,1,3,4,23,5,8,5,3.27272727272727,3.44444444444444,4.13333333333333,5.54545454545455,4.77777777777778,4.8,66,56,8
FTC548,324,0,0,8,2,41,7,11,10,1.81818181818182,2.33333333333333,3.4,2,2.55555555555556,4.13333333333333,45,72,10
FTC550,325,0,1,10,4,34,5,5,9,2.36363636363636,3.66666666666667,5,2.63636363636364,2.77777777777778,4.33333333333333,39,41,10
FTC551,326,0,1,13,2,42,5,7,8,2.09090909090909,2.66666666666667,3.6,2.63636363636364,2.66666666666667,3.93333333333333,43,50,10
FTC555,328,1,1,13,2,37,4,4,12,2.27272727272727,2.66666666666667,4.4,1.36363636363636,2.55555555555556,3.66666666666667,39,42,10
FTC564,333,0,1,7,6,35,7,4,11,1.54545454545455,2.33333333333333,4.6,1.54545454545455,2.22222222222222,4.73333333333333,49,54,8
FTC573,336,0,1,7,5,36,7,10,10,2.63636363636364,2.44444444444444,3.46666666666667,1.81818181818182,1.88888888888889,3.86666666666667,51,46,9
FTC574,337,1,1,4,5,26,3,1,10,1.36363636363636,2.55555555555556,4.53333333333333,1.63636363636364,2.44444444444444,5.73333333333333,58,52,9
FTC578,338,0,1,6,2,31,4,2,7,1.18181818181818,2.66666666666667,3.53333333333333,1.36363636363636,2.44444444444444,3.33333333333333,54,51,10
FTC582,339,0,0,1,1,41,3,3,6,1.81818181818182,2.33333333333333,4.4,1.81818181818182,2,3.8,45,64,10
FTC584,341,0,0,11,4,34,4,7,9,1.90909090909091,2.22222222222222,4.13333333333333,2,2.44444444444444,4.33333333333333,33,41,10
FTC594,345,0,0,12,5,33,3,7,6,1,1.77777777777778,6.53333333333333,1,1.77777777777778,5.53333333333333,33,41,10
FTC610,348,1,1,5,4,29,5,9,11,1.63636363636364,2.33333333333333,4.86666666666667,1.72727272727273,2.22222222222222,4.66666666666667,45,42,9
FTC618,350,0,1,7,1,36,3,3,8,2,2.44444444444444,4.46666666666667,1.72727272727273,2.22222222222222,4.6,39,41,10
FTC622,351,0,0,6,3,35,4,11,8,1.54545454545455,2.66666666666667,3.73333333333333,1.54545454545455,2.55555555555556,5.06666666666667,55,59,7
FTC632,355,1,1,7,1,57,8,11,12,1.36363636363636,2.22222222222222,5.53333333333333,1.45454545454545,2.11111111111111,5.73333333333333,51,47,10
FTC634,357,1,0,4,2,26,3,3,12,1.63636363636364,2.77777777777778,5.53333333333333,1.18181818181818,2,5.06666666666667,81,41,10
FTC641,361,1,1,12,3,40,4,7,13,2.27272727272727,3.11111111111111,5,1.81818181818182,2.22222222222222,4.86666666666667,56,52,8
FTC651,365,1,0,7,3,36,4,7,12,3.36363636363636,2.22222222222222,3.4,2,1.77777777777778,3.86666666666667,42,52,7
FTC655,367,0,1,8,3,34,5,4,7,2.90909090909091,3.66666666666667,4.6,2.54545454545455,4,4.93333333333333,52,50,6
FTC658,369,1,1,10,3,25,4,2,8,3.09090909090909,3.66666666666667,4.26666666666667,2.90909090909091,2.77777777777778,4.6,60,50,8
FTC661,372,0,0,10,4,50,4,1,11,2.09090909090909,2.77777777777778,3.86666666666667,2.27272727272727,2.66666666666667,3.4,63,63,2
FTC663,374,1,0,10,1,54,4,6,12,1.27272727272727,2.22222222222222,4.33333333333333,1.36363636363636,2.22222222222222,4.53333333333333,50,52,5
FTC666,375,1,1,8,5,31,3,2,8,2.09090909090909,2.66666666666667,4,3.45454545454545,2.88888888888889,3.86666666666667,62,41,3
FTC669,377,0,1,1,4,25,3,3,7,2.81818181818182,4.44444444444444,4.13333333333333,2.36363636363636,2.88888888888889,2.8,54,59,7
FTC673,378,0,1,5,2,36,3,4,8,1.63636363636364,2.11111111111111,4.26666666666667,1.54545454545455,1.77777777777778,3.73333333333333,36,41,10
FTC684,383,1,1,10,5,32,6,4,11,1.63636363636364,2.55555555555556,3.26666666666667,1.72727272727273,2.33333333333333,3.06666666666667,55,50,5
FTC689,385,1,1,11,4,44,5,10,12,1.63636363636364,2.11111111111111,5,1.72727272727273,2.11111111111111,5,55,52,9
FTC690,386,1,0,5,6,30,3,1,11,1.72727272727273,3,4.4,1.36363636363636,2.66666666666667,4.6,38,41,9
FTC697,388,0,1,3,3,41,7,10,6,1.81818181818182,2.88888888888889,3.06666666666667,2.18181818181818,3.44444444444444,3.4,57,47,8
FTC698,389,0,0,7,2,25,2,2,6,1,1.88888888888889,5.13333333333333,1.45454545454545,3,5.26666666666667,81,85,4
FTC705,390,0,0,7,5,28,3,4,9,1.81818181818182,1.88888888888889,4.06666666666667,2.54545454545455,2.33333333333333,5,40,46,7
FTC716,394,0,0,5,3,23,9,5,7,1.27272727272727,2.33333333333333,5.66666666666667,1.18181818181818,1.33333333333333,5.4,88,54,6
FTC738,405,0,1,13,3,39,7,8,11,1.63636363636364,2.22222222222222,5.4,1.72727272727273,2.22222222222222,4.06666666666667,34,42,7
FTC743,407,0,1,8,5,40,5,11,7,3.09090909090909,2.66666666666667,4.33333333333333,2.72727272727273,2.66666666666667,4.46666666666667,46,42,10
FTC748,409,0,0,6,3,36,5,7,9,2.18181818181818,3,3.26666666666667,2.27272727272727,2.88888888888889,3.13333333333333,51,47,10
FTC749,410,1,0,6,5,41,5,10,11,1.81818181818182,3.44444444444444,4.13333333333333,2,3,4.06666666666667,54,54,8
FTC754,413,0,0,11,5,36,4,4,7,2.54545454545455,2.77777777777778,3.73333333333333,2.45454545454545,3.11111111111111,3.4,62,64,3
FTC755,414,0,1,10,3,36,5,6,10,3.63636363636364,4.77777777777778,3.33333333333333,3.36363636363636,4.22222222222222,3.53333333333333,76,80,4
FTC757,416,0,0,11,5,32,2,6,7,1.81818181818182,3.44444444444444,4.8,3,3,4.46666666666667,39,41,10
FTC766,419,0,1,16,4,51,3,8,12,1.63636363636364,2.77777777777778,4.2,1.54545454545455,2.88888888888889,4.6,38,41,9
FTC770,422,0,1,5,3,43,3,6,9,1.72727272727273,2.66666666666667,3.8,1.90909090909091,2.33333333333333,4.06666666666667,50,55,6
FTC030,15,0,0,9,2,39,4,7,11,2.45454545454545,3.22222222222222,5.33333333333333,2.09090909090909,2.77777777777778,5.46666666666667,42,42,10
FTC032,16,1,1,4,1,35,4,6,13,1.90909090909091,2.11111111111111,5.73333333333333,1.90909090909091,1.66666666666667,5.66666666666667,57,56,9
FTC034,17,0,0,8,1,45,5,6,12,1.36363636363636,2,5.26666666666667,1.63636363636364,2.44444444444444,5.26666666666667,48,49,10
FTC036,18,1,0,15,3,46,5,9,13,1.45454545454545,2.22222222222222,4.53333333333333,1.54545454545455,2.44444444444444,4.8,55,54,10
FTC050,25,0,1,4,6,24,4,7,8,1.90909090909091,3.55555555555556,4.73333333333333,2.18181818181818,3.55555555555556,3.86666666666667,80,68,10
FTC051,26,1,1,8,3,28,5,6,11,1.72727272727273,2,5.6,1.45454545454545,2.33333333333333,5.93333333333333,43,45,10
FTC052,27,1,1,14,5,36,4,6,13,1.63636363636364,2.33333333333333,5.06666666666667,1.54545454545455,1.88888888888889,5.46666666666667,60,46,8
FTC054,28,0,1,5,5,26,3,4,10,2.54545454545455,3.22222222222222,3.93333333333333,2.54545454545455,3.55555555555556,4.4,59,52,9
FTC093,45,0,1,8,4,42,8,9,11,2.45454545454545,2.66666666666667,2.93333333333333,2,2.55555555555556,3,49,52,10
FTC109,59,0,1,2,1,33,4,2,9,1.90909090909091,2.66666666666667,4.53333333333333,2.09090909090909,2.55555555555556,4.4,44,47,10
FTC315,202,0,1,8,5,45,5,11,13,1.27272727272727,1.77777777777778,4.93333333333333,1.09090909090909,2.66666666666667,5.33333333333333,36,41,10
FTC319,205,1,1,11,4,54,6,4,14,1.81818181818182,2.22222222222222,3.53333333333333,1.81818181818182,2.55555555555556,5.53333333333333,42,46,8
FTC326,211,0,0,8,5,33,5,2,11,1.90909090909091,2.77777777777778,4.73333333333333,1.63636363636364,2.55555555555556,3.66666666666667,44,46,7
FTC327,212,0,0,4,1,43,9,1,11,1,2,5.2,1.09090909090909,1.33333333333333,5.33333333333333,42,41,10
FTC331,213,0,1,4,3,36,4,2,12,1.09090909090909,2.44444444444444,4.93333333333333,1.45454545454545,2.22222222222222,4.93333333333333,56,42,7
FTC332,214,0,1,4,2,24,4,3,10,2.18181818181818,3.11111111111111,5.13333333333333,1.54545454545455,2.44444444444444,5.53333333333333,52,49,10
FTC335,216,1,0,6,2,36,4,5,13,1.72727272727273,1.88888888888889,5.2,1.45454545454545,1.55555555555556,5.53333333333333,46,50,9
FTC404,253,0,1,5,4,50,7,6,12,1.09090909090909,1.55555555555556,4.46666666666667,1.36363636363636,1.44444444444444,4.66666666666667,44,47,6
FTC405,254,1,1,8,2,41,3,4,13,1.09090909090909,1.66666666666667,4.86666666666667,1.09090909090909,2,5.2,42,41,10
FTC441,278,0,0,4.5,3,33,9,4,10,1.54545454545455,2,3.73333333333333,1.54545454545455,2.22222222222222,3.46666666666667,45,47,10
FTC043,20,0,0,12,1,35,4,1,10,1.72727272727273,2.11111111111111,4.53333333333333,1.81818181818182,1.77777777777778,4.46666666666667, ,41, 
FTC065,33,0,0,10,1,32,2,4,12,2,2.66666666666667,4.93333333333333,2,2.22222222222222,4.53333333333333, ,41, 
FTC143,82,0,1,9,1,36,4,4,10,1.81818181818182,2.22222222222222,4.53333333333333,2.09090909090909,2, , ,41, 
FTC585,342,0,0,13,3,45,5,9,0, , , ,1.54545454545455,2.33333333333333,3.8,63,41,9
FTC183,108,0,1,13,2,34,3,4,13,2,2.66666666666667,4.13333333333333, , , , ,41, 
FTC249,152,1,0,5,3,37,5,8,10,1.72727272727273,2.55555555555556,5.13333333333333, , , , ,41, 
FTC306,195,0,1,6,1,28,4,3,6,2.18181818181818,2.77777777777778,4.26666666666667, , , , ,41, 
FTC314,201,0,1,6,2,31,3,5,8,1.63636363636364,2,3.73333333333333, , , , ,41, 
FTC001,1,1,1,13,4,35,9,3,9,1.18181818181818,1.88888888888889,4.86666666666667, , , , , , 
FTC046,22,1,1,5,6,24,4,3,10,2.09090909090909,3.77777777777778,4.46666666666667, , , , , , 
FTC064,32,1,1,9,4,46,6,3,10,1.45454545454545,1.66666666666667,3.73333333333333, , , , , , 
FTC082,39,1,0,11,3,38,3,5,10,1.90909090909091,2.44444444444444,4.33333333333333, , , , , , 
FTC101,52,1,0,8,5,46,7,8,13,2.36363636363636,2.44444444444444,4.6, , , , , , 
FTC112,61,1,0,9,5,31,3,4,10,2.36363636363636,3.11111111111111,5.33333333333333, , , , , , 
FTC121,66,1,1,4,6,27,3,2,11,1.72727272727273,2.33333333333333,5.53333333333333, , , , , , 
FTC122,67,1,0,6,1,37,5,10,11,1.72727272727273,2.55555555555556,5.53333333333333, , , , , , 
FTC123,68,0,0,4,4,40,3,4,8,2.90909090909091,3.22222222222222,5.06666666666667, , , , , , 
FTC133,75,1,0,9,2,28,3,4,9,1.18181818181818,2.22222222222222,3.6, , , , , , 
FTC136,77,1,1,5,2,40,5,11,10,1.63636363636364,2.66666666666667,4.4, , , , , , 
FTC141,81,0,0,7,3,37,5,5,9,2.36363636363636,3.11111111111111,4.53333333333333, , , , , , 
FTC148,85,1,0,5,2,29,4,4,7,2.36363636363636,2.77777777777778,3.86666666666667, , , , , , 
FTC158,92,1,1,9,2,31,3,4,7,2.09090909090909,2.55555555555556,4.6, , , , , , 
FTC159,93,0,0,14,6,50,4,2,10,1.36363636363636,2.44444444444444,4.86666666666667, , , , , , 
FTC163,95,0,0,6,3,45,3,4,11,1.72727272727273,2.55555555555556,4.4, , , , , , 
FTC168,98,0,1,3,4,32,4,6,8,2,3,4.66666666666667, , , , , , 
FTC209,122,0,0,10,1,37,4,1,9,1.72727272727273,2.66666666666667,4.86666666666667, , , , , , 
FTC215,126,1,1,5,5,27,3,3,10,3.18181818181818,3.11111111111111,4.4, , , , , , 
FTC218,128,0,1,15,3,38,5,7,6,2.18181818181818,3.44444444444444,4.2, , , , , , 
FTC236,142,0,1,12,3,38,5,3,10,1.36363636363636,2.33333333333333,4.66666666666667, , , , , , 
FTC238,144,1,1,10,1,37,5,4,8,2,2.44444444444444,4.53333333333333, , , , , , 
FTC268,165,0,1,5,3,32,4,4,12,1,1.77777777777778,4.6, , , , , , 
FTC269,166,0,0,15,3,39,3,6,10,1.63636363636364,2.66666666666667,4.33333333333333, , , , , , 
FTC270,167,0,0,7,5,45,4,8,13,1.72727272727273,2.11111111111111,3.93333333333333, , , , , , 
FTC277,173,1,1,4,1,30,4,2,9,2.27272727272727,2.44444444444444,4.06666666666667, , , , , , 
FTC289,180,1,0,5,3,42,5,8,13,2.27272727272727,3.33333333333333,5.2, , , , , , 
FTC290,181,0,1,17,6,42,5,11,11,1.45454545454545,2.66666666666667,4.26666666666667, , , , , , 
FTC297,188,0,0,4,3,42,4,3,10,1.18181818181818,2.33333333333333,3.86666666666667, , , , , , 
FTC301,191,0,1,12,1,43,4,1,12,1.18181818181818,2.11111111111111,4.53333333333333, , , , , , 
FTC336,217,1,0,5,1,35,3,5,12,1.27272727272727,1.77777777777778,4.86666666666667, , , , , , 
FTC337,218,1,1,8,6,27,3,5,13,2.18181818181818,3,4.46666666666667, , , , , , 
FTC349,227,1,1,6,1,30,4,5,11,2,2,5.06666666666667, , , , , , 
FTC354,230,1,0,17,2,40,5,8,10,2,2.88888888888889,3.66666666666667, , , , , , 
FTC391,247,1,1,8,3,38,3,2,10,2.09090909090909,3.55555555555556,4.93333333333333, , , , , , 
FTC407,256,0,1,6,1,29,3,2,7,2.18181818181818,2.77777777777778,3.93333333333333, , , , , , 
FTC408,257,0,1,5,5,30,3,5,11,1.54545454545455,3.11111111111111,5.06666666666667, , , , , , 
FTC419,265,1,0,4,3,44,7,7,10,1,2.33333333333333,4.46666666666667, , , , , , 
FTC455,283,1,1,13,4,52,7,11,11,2.90909090909091,2.33333333333333,3.4, , , , , , 
FTC507,303,1,0,10,5,34,4,8,9,1.18181818181818,2.44444444444444,4.06666666666667, , , , , , 
FTC514,307,1,0,10,5,41,5,5,12,2.45454545454545,3.44444444444444,2.73333333333333, , , , , , 
FTC529,315,0,1,6,2,36,4,6,9,2.72727272727273,3,4.73333333333333, , , , , , 
FTC558,329,1,0,7,4,48,3,4,12,2,2.77777777777778,4.2, , , , , , 
FTC561,331,1,0,6,3,33,6,11,5,2.27272727272727,3,3.66666666666667, , , , , , 
FTC563,332,1,1,10,4,37,5,11,10,1.72727272727273,4.22222222222222,4.33333333333333, , , , , , 
FTC583,340,1,0,8,3,28,3,11,12,1.36363636363636,2.22222222222222,5.46666666666667, , , , , , 
FTC587,343,1,1,11,5,31,2,1,12,2,3.33333333333333,3.53333333333333, , , , , , 
FTC606,346,1,0,9,3,36,5,7,14,2,2.22222222222222,3.4, , , , , , 
FTC626,352,1,1,3,3,28,3,11,11,2.81818181818182,2.44444444444444,3.8, , , , , , 
FTC628,353,1,0,4,2,46,5,11,12,2,2.11111111111111,4.4, , , , , , 
FTC630,354,0,1,7,6,33,3,2,9,1.45454545454545,2.11111111111111,5, , , , , , 
FTC633,356,0,0,9,2,31,5,4,4,2.18181818181818,3.22222222222222,4.73333333333333, , , , , , 
FTC646,362,0,0,6,2,39,5,11,11,1.54545454545455,2.77777777777778,4.4, , , , , , 
FTC647,363,1,1,4,5,27,6,6,11,1.63636363636364,2.55555555555556,4.2, , , , , , 
FTC650,364,1,1,13,6,46,7,10,12,1.45454545454545,2.66666666666667,4.4, , , , , , 
FTC652,366,0,1,6,3,47,4,4,10,1.72727272727273,2.44444444444444,4, , , , , , 
FTC659,370,1,1,7,2,39,3,1,8,1.54545454545455,2.11111111111111,5, , , , , , 
FTC667,376,0,1,7,3,24,3,2,8,1.09090909090909,1.66666666666667,4.46666666666667, , , , , , 
FTC674,379,1,0,12,4,36,5,6,12,1.63636363636364,2.55555555555556,3.53333333333333, , , , , , 
FTC675,380,1,1,8,3,55,5,11,13,1.63636363636364,2.55555555555556,5.66666666666667, , , , , , 
FTC692,387,1,0,7,1,49,5,5,11,3.36363636363636,3.44444444444444,3.13333333333333, , , , , , 
FTC719,396,1,0,6,1,29,3,4,9,1.63636363636364,2.55555555555556,4.33333333333333, , , , , , 
FTC722,399,0,1,6,5,6,4,5,9,2.36363636363636,1.66666666666667,4.8, , , , , , 
FTC725,400,1,0,5,6,25,3,4,14,1.45454545454545,1.88888888888889,3.26666666666667, , , , , , 
FTC742,406,1,0,10,3,46,4,9,14,1.63636363636364,1.55555555555556,4.86666666666667, , , , , , 
FTC744,408,1,0,5,4,57,3,7,9,2.27272727272727,3.22222222222222,5.6, , , , , , 
FTC753,412,1,0,15,5,40,4,5,11,1.45454545454545,2.33333333333333,4.4, , , , , , 
FTC756,415,1,0,8,4,48,5,11,12,2.63636363636364,2.77777777777778,3.8, , , , , , 
FTC758,417,0,0,10,3,45,4,8,11,2.54545454545455,2.44444444444444,3.33333333333333, , , , , , 
FTC767,420,1,0,9,5,40,3,5,10,2.90909090909091,3.11111111111111,4.53333333333333, , , , , , 
FTC768,421,1,1,5,2,5,5,11,13,1.72727272727273,2.11111111111111,4, , , , , , 
FTC772,423,0,1,5,2,31,5,4,7,2.36363636363636,3.44444444444444,4.26666666666667, , , , , , 
FTC773,424,0,1,8,5,40,4,5,8,2.81818181818182,3.88888888888889,4.13333333333333, , , , , , 
FTC776,425,1,0,7,5,39,5,11,12,1.90909090909091,2.44444444444444,4.13333333333333, , , , , , 
FTC777,426,1,1,1,6,33,2,2,10,1.27272727272727,2.77777777777778,5.4, , , , , , 
FTC322,208,1,0,8,5,33,3,3,8,1.36363636363636,2.22222222222222,5.66666666666667, , , , , , 
FTC325,210,0,1,9,4,37,5,11,10,1.72727272727273,2.33333333333333,4.46666666666667, , , , , , 
FTC002,2,0,0,6,4,49,4,3, , , , , , , , , , 
FTC008,5,1,1,10,5,42,4,6, , , , , , , , , , 
FTC012,7,1,0,4,5,32,4,8, , , , , , , , , , 
FTC018,9,1,0,6,5,52,7,5, , , , , , , , , , 
FTC021,11,1,1,3,5,30,4,4, , , , , , , , , , 
FTC028,14,0,1,5,6,31,3,4, , , , , , , , , , 
FTC037,19,0,0,4,4,39,6,4, , , , , , , , , , 
FTC055,29,1,1,4,5,29,5,7, , , , , , , , , , 
FTC076,38,1,1,4,4,29,3,4, , , , , , , , , , 
FTC088,43,1,1,15,4,40,4,8, , , , , , , , , , 
FTC095,47,1,0,3,5,29,3,1, , , , , , , , , , 
FTC096,48,1,1,7,6,53,4,5, , , , , , , , , , 
FTC099,51,1,0,5,3,26,3,3, , , , , , , , , , 
FTC104,55,0,0,3,1,34,7,11, , , , , , , , , , 
FTC106,56,0,0,11,3,38,5,7, , , , , , , , , , 
FTC107,57,1,1,4,3,27,5,9, , , , , , , , , , 
FTC110,60,0,0,5,5,41,3,3, , , , , , , , , , 
FTC128,70,1,0,8,3,46,4,6, , , , , , , , , , 
FTC137,78,1,1,4,1,35,4,5, , , , , , , , , , 
FTC149,86,1,0,4,5,26,3,4, , , , , , , , , , 
FTC155,89,0,1,16,4,37,4,2, , , , , , , , , , 
FTC164,96,1,1,6,5,35,3,4, , , , , , , , , , 
FTC166,97,1,1,3,4,34,4,4, , , , , , , , , , 
FTC169,99,1,1,3,4,37,4,7, , , , , , , , , , 
FTC179,104,1,0,8,5,36,3,2, , , , , , , , , , 
FTC180,105,1,0,14,1,39,4,6, , , , , , , , , , 
FTC181,106,1,0,6,1,43,3,6, , , , , , , , , , 
FTC182,107,1,0,15,2,37,3,5, , , , , , , , , , 
FTC186,110,0,1,13,3,46,5,4, , , , , , , , , , 
FTC193,113,1,0,7,6,54,3,7, , , , , , , , , , 
FTC207,120,0,1,10,5,39,7,6, , , , , , , , , , 
FTC208,121,1,1,10,3,40,5,11, , , , , , , , , , 
FTC216,127,0,1,4,1,41,3,11, , , , , , , , , , 
FTC221,130,1,1,18,1,33,9,2, , , , , , , , , , 
FTC228,136,1,1,13,5,42,5,4, , , , , , , , , , 
FTC230,138,0,0,4,5,43,5,11, , , , , , , , , , 
FTC244,147,1,0,13,5,39,3,6, , , , , , , , , , 
FTC247,150,1,0,4,6,39,4,7, , , , , , , , , , 
FTC251,154,0,0,3,5,32,3,5, , , , , , , , , , 
FTC253,156,1,1,4,2,28,5,4, , , , , , , , , , 
FTC257,158,1,1,7,2,42,5,4, , , , , , , , , , 
FTC262,162,1,0,10,1,47,5,11, , , , , , , , , , 
FTC263,163,0,1,6,1,31,4,2, , , , , , , , , , 
FTC271,168,1,1,11,3,49,3,4, , , , , , , , , , 
FTC285,177,1,0,5,4,29,4,4, , , , , , , , , , 
FTC292,183,1,1,12,4,34,4,5, , , , , , , , , , 
FTC300,190,1,1,13,5,35,5,4, , , , , , , , , , 
FTC303,192,1,0,16,3,38,3,5, , , , , , , , , , 
FTC308,197,1,1,7,6,33,3,4, , , , , , , , , , 
FTC309,198,0,1,5,6,30,3,2, , , , , , , , , , 
FTC310,199,1,1,7,3,36,5,5, , , , , , , , , , 
FTC316,203,1,1,12,3,59,2,11, , , , , , , , , , 
FTC321,207,1,1,8,4,38,1,4, , , , , , , , , , 
FTC323,209,0,0,6,5,41,4,3, , , , , , , , , , 
FTC338,219,1,0,6,3,26,3,2, , , , , , , , , , 
FTC341,221,1,1,6,5,36,3,8, , , , , , , , , , 
FTC343,222,1,0,5,1,27,4,4, , , , , , , , , , 
FTC346,224,1,1,4,4,26,3,4, , , , , , , , , , 
FTC348,226,0,1,5,2,36,3,11, , , , , , , , , , 
FTC361,233,1,0,11,4,43,3,5, , , , , , , , , , 
FTC364,236,1,0,7,5,32,5,4, , , , , , , , , , 
FTC382,243,1,1,10,1,36,4,7, , , , , , , , , , 
FTC386,245,1,1,6,5,44,5,11, , , , , , , , , , 
FTC397,250,1,0,16,5,37,3,4, , , , , , , , , , 
FTC411,258,1,1,5,4,32,5,6, , , , , , , , , , 
FTC412,259,0,1,4,3,44,3,9, , , , , , , , , , 
FTC413,260,1,0,5,1,22,2,2, , , , , , , , , , 
FTC414,261,1,1,9,5,43,5,6, , , , , , , , , , 
FTC417,263,1,0,8,3,44,4,2, , , , , , , , , , 
FTC418,264,1,1,8,3,33,5,7, , , , , , , , , , 
FTC428,270,1,1,4,4,38,7,6, , , , , , , , , , 
FTC438,276,1,1,10,5,46,3,5, , , , , , , , , , 
FTC439,277,1,0,8,2,33,5,9, , , , , , , , , , 
FTC449,281,1,1,11,4,38,3,4, , , , , , , , , , 
FTC475,292,1,0,7,3,29,3,3, , , , , , , , , , 
FTC506,302,1,0,10,5,34,2,4, , , , , , , , , , 
FTC519,310,1,1,13,5,36,5,8, , , , , , , , , , 
FTC553,327,1,1,10,4,43,5,7, , , , , , , , , , 
FTC559,330,0,1,9,3,47,8,11, , , , , , , , , , 
FTC570,334,0,0,3,3,39,4,6, , , , , , , , , , 
FTC572,335,1,0,13,4,40,5,5, , , , , , , , , , 
FTC589,344,1,1,6,6,34,3,1, , , , , , , , , , 
FTC608,347,1,0,14,3,44,4,5, , , , , , , , , , 
FTC616,349,0,1,10,4,36,7,5, , , , , , , , , , 
FTC637,358,1,0,2,1,33,4,1, , , , , , , , , , 
FTC639,359,0,0,7,3,33,3,1, , , , , , , , , , 
FTC640,360,0,1,9,2,37,5,10, , , , , , , , , , 
FTC657,368,0,1,10,3,36,3,11, , , , , , , , , , 
FTC660,371,0,1,10,1,35,3,1, , , , , , , , , , 
FTC662,373,1,1,5,4,31,3,3, , , , , , , , , , 
FTC678,381,1,1,4,3,36,3,7, , , , , , , , , , 
FTC685,384,1,1,8,3,47,5,1, , , , , , , , , , 
FTC707,391,1,0,2,3,22,3,3, , , , , , , , , , 
FTC709,392,1,0,4,6,30,3,1, , , , , , , , , , 
FTC715,393,1,1,8,3,51,4,4, , , , , , , , , , 
FTC718,395,0,0,10,3,35,3,4, , , , , , , , , , 
FTC720,397,0,1,10,4,34,5,4, , , , , , , , , , 
FTC721,398,1,0,5,6,36,7,11, , , , , , , , , , 
FTC727,401,1,1,11,5,36,4,4, , , , , , , , , , 
FTC730,402,1,1,10,1,46,8,11, , , , , , , , , , 
FTC731,403,1,1,5,5,49,5,11, , , , , , , , , , 
FTC732,404,0,1,6,6,40,4,6, , , , , , , , , , 
FTC750,411,1,0,3,1,34,3,4, , , , , , , , , , 
FTC765,418,1,1,11,3,44,4,3, , , , , , , , , , 
